year;site;phenotype;id;ps_flor;n_ovu;polen_type;max_polen;min_polen
2019;palmar;287;1;0.0157;6;grano de polen;21;16.5
2019;palmar;287;2;0.0183;7;grano de polen;22.5;22.5
2019;palmar;287;3;0.0143;4;grano de polen;16.5;16.5
2019;palmar;287;4;0.0167;6;grano de polen;15;15
2019;palmar;287;5;0.018;6;grano de polen;21;19.5
2019;palmar;287;6;0.0165;7;grano de polen;22.5;22.5
2019;palmar;287;7;0.0157;5;grano de polen;24;22.5
2019;palmar;287;8;0.0176;6;grano de polen;27;15
2019;palmar;287;9;0.0138;5;grano de polen;25.5;18
2019;palmar;287;10;0.0164;8;grano de polen;27;24
2019;palmar;288;1;0.017;1;grano de polen;16.5;16.5
2019;palmar;288;2;0.028;3;grano de polen;19.5;16.5
2019;palmar;288;3;0.0155;4;grano de polen;22.5;13.5
2019;palmar;288;4;0.0181;6;grano de polen;22.5;13.5
2019;palmar;288;5;0.0189;5;grano de polen;19.5;16.5
2019;palmar;288;6;0.025;5;grano de polen;19.5;18
2019;palmar;288;7;0.0149;6;grano de polen;22.5;21
2019;palmar;288;8;0.0142;6;grano de polen;19.5;15
2019;palmar;288;9;0.0179;7;grano de polen;25.5;15
2019;palmar;288;10;0.0155;6;grano de polen;21;16.5
2019;gualeguaychu;305;1;0.022;6;grano de polen;19.5;19.5
2019;gualeguaychu;305;2;0.0181;7;grano de polen;24;22.5
2019;gualeguaychu;305;3;0.0188;2;grano de polen;19.5;18
2019;gualeguaychu;305;4;0.0188;6;grano de polen;22.5;13.5
2019;gualeguaychu;305;5;0.027;5;grano de polen;16.5;15
2019;gualeguaychu;305;6;0.0183;0;grano de polen;21;19.5
2019;gualeguaychu;305;7;0.021;5;grano de polen;21;21
2019;gualeguaychu;305;8;0.028;3;grano de polen;18;18
2019;gualeguaychu;305;9;0.0177;6;grano de polen;24;16.5
2019;gualeguaychu;305;10;0.0152;0;grano de polen;22.5;19.5
2019;gualeguaychu;306;1;0.076;4;grano de polen;16.5;19.5
2019;gualeguaychu;306;2;0.088;4;grano de polen;24;18
2019;gualeguaychu;306;3;0.084;4;grano de polen;22.5;21
2019;gualeguaychu;306;4;0.073;3;grano de polen;19.5;19.5
2019;gualeguaychu;306;5;0.076;5;grano de polen;19.5;18
2019;gualeguaychu;306;6;0.011;3;grano de polen;21;18
2019;gualeguaychu;306;7;0.097;5;grano de polen;18;15
2019;gualeguaychu;306;8;0.082;6;grano de polen;16.5;15
2019;gualeguaychu;306;9;0.078;5;grano de polen;18;13.5
2019;gualeguaychu;306;10;0.061;6;grano de polen;19.5;18
2019;gualeguaychu;321;1;0.016;4;grano de polen;34.5;33
2019;gualeguaychu;321;2;0.0141;6;grano de polen;30;28.5
2019;gualeguaychu;321;3;0.0166;5;grano de polen;30;28.5
2019;gualeguaychu;321;4;0.0192;1;grano de polen;31.5;30
2019;gualeguaychu;321;5;0.0151;9;grano de polen;27;25.5
2019;gualeguaychu;321;6;0.014;5;grano de polen;16.5;16.5
2019;gualeguaychu;321;7;0.0145;3;grano de polen;24;22.5
2019;gualeguaychu;321;8;0.0161;6;grano de polen;22.5;21
2019;gualeguaychu;321;9;0.0134;4;grano de polen;24;22.5
