"","year","site","phenotype","id","ps_flor","n_ovu","polen_type","max_polen2","min_polen2","max_polen","min_polen","mean_polen","ns"
"198","2019","PN El Palmar","268","1",16.3,5,"grano de polen",16.5,15,24.75,22.5,23.625,1
"199","2019","PN El Palmar","268","2",16,5,"grano de polen",16.5,15,24.75,22.5,23.625,1
"200","2019","PN El Palmar","268","3",14.6,6,"grano de polen",15,15,22.5,22.5,22.5,2
"201","2019","PN El Palmar","268","4",14.2,6,"grano de polen",18,16.5,27,24.75,25.875,1
"202","2019","PN El Palmar","268","5",17.7,8,"grano de polen",16.5,16.5,24.75,24.75,24.75,1
"203","2019","PN El Palmar","268","6",15.5,6,"grano de polen",16.5,15,24.75,22.5,23.625,1
"204","2019","PN El Palmar","268","7",17.6,4,"grano de polen",15,15,22.5,22.5,22.5,1
"205","2019","PN El Palmar","268","8",14.3,6,"grano de polen",16.5,15,24.75,22.5,23.625,1
"206","2019","PN El Palmar","268","9",15.5,5,"grano de polen",18,16.5,27,24.75,25.875,1
"207","2019","PN El Palmar","268","10",13.6,6,"grano de polen",16.5,15,24.75,22.5,23.625,1
"208","2019","PN El Palmar","268","11",NA,NA,NA,NA,NA,NA,NA,NA,1
"209","2019","PN El Palmar","268","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"210","2019","PN El Palmar","271","1",12.9,6,"grano de polen",21,19.5,31.5,29.25,30.375,1
"211","2019","PN El Palmar","271","2",11.9,5,"grano de polen",16.5,15,24.75,22.5,23.625,1
"212","2019","PN El Palmar","271","3",12.7,6,"grano de polen",21,15,31.5,22.5,27,1
"213","2019","PN El Palmar","271","4",13.8,7,"grano de polen",25.5,22.5,38.25,33.75,36,2
"214","2019","PN El Palmar","271","5",9.5,6,"grano de polen",22.5,19.5,33.75,29.25,31.5,2
"215","2019","PN El Palmar","271","6",13.1,4,"grano de polen",16.5,15,24.75,22.5,23.625,1
"216","2019","PN El Palmar","271","7",12.7,4,"grano de polen",15,15,22.5,22.5,22.5,NA
"217","2019","PN El Palmar","271","8",12.9,4,"grano de polen",18,18,27,27,27,NA
"218","2019","PN El Palmar","271","9",12.6,4,"grano de polen",19.5,13.5,29.25,20.25,24.75,NA
"219","2019","PN El Palmar","271","10",13.1,6,"grano de polen",28.5,24,42.75,36,39.375,NA
"220","2019","PN El Palmar","272","1",15.7,4,"grano de polen",19.5,18,29.25,27,28.125,2
"221","2019","PN El Palmar","272","2",15.8,4,"grano de polen",19.5,18,29.25,27,28.125,1
"222","2019","PN El Palmar","272","3",14.7,6,"grano de polen",19.5,15,29.25,22.5,25.875,1
"223","2019","PN El Palmar","272","4",16,6,"grano de polen",16.5,15,24.75,22.5,23.625,1
"224","2019","PN El Palmar","272","5",14,4,"grano de polen",19.5,16.5,29.25,24.75,27,2
"225","2019","PN El Palmar","272","6",16.1,4,"grano de polen",21,18,31.5,27,29.25,1
"226","2019","PN El Palmar","272","7",13.3,6,"grano de polen",18,18,27,27,27,1
"227","2019","PN El Palmar","272","8",11.3,6,"grano de polen",21,19.5,31.5,29.25,30.375,1
"228","2019","PN El Palmar","272","9",14.7,7,"grano de polen",18,16.5,27,24.75,25.875,1
"229","2019","PN El Palmar","272","10",12.7,6,"grano de polen",21,19.5,31.5,29.25,30.375,1
"230","2019","PN El Palmar","272","11",NA,NA,NA,NA,NA,NA,NA,NA,1
"231","2019","PN El Palmar","272","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"232","2019","PN El Palmar","274","1",13.9,4,"grano de polen",18,16.5,27,24.75,25.875,1
"233","2019","PN El Palmar","274","2",15.3,4,"grano de polen",18,16.5,27,24.75,25.875,1
"234","2019","PN El Palmar","274","3",10.8,5,"grano de polen",24,13.5,36,20.25,28.125,1
"235","2019","PN El Palmar","274","4",16.1,4,"grano de polen",21,15,31.5,22.5,27,2
"236","2019","PN El Palmar","274","5",12.7,4,"grano de polen",22.5,18,33.75,27,30.375,1
"237","2019","PN El Palmar","274","6",11.4,5,"grano de polen",22.5,13.5,33.75,20.25,27,2
"238","2019","PN El Palmar","274","7",12.6,4,"grano de polen",21,19.5,31.5,29.25,30.375,1
"239","2019","PN El Palmar","274","8",10.8,6,"grano de polen",25.5,15,38.25,22.5,30.375,1
