ANIO	REG	ACC	FEN	REP
2019	Gualeguaychu	324	501.534116847682	1
2019	Gualeguaychu	324	1693.367731524240	1
2019	Gualeguaychu	324	775.870306080199	1
2019	Gualeguaychu	324	1315.412300538270	1
2019	Gualeguaychu	325	1697.614421760040	1
2019	Gualeguaychu	325	1580.830440275610	1
2019	Gualeguaychu	325	1379.112654075230	1
2019	Gualeguaychu	325	1455.553078319580	1
2019	Gualeguaychu	331	626.386809780128	1
2019	Gualeguaychu	331	686.689811128452	1
2019	Gualeguaychu	331	701.977895977323	1
2019	Gualeguaychu	331	500.684778800522	1
2019	Gualeguaychu	337	2304.891125479080	1
2019	Gualeguaychu	337	1776.178191122290	1
2019	Gualeguaychu	337	2684.969901582950	1
2019	Gualeguaychu	337	2642.502999224980	1
2019	Gualeguaychu	362	1143.421345988470	1
2019	Gualeguaychu	362	899.236657430115	1
2019	Gualeguaychu	362	1338.769096835150	1
2019	Gualeguaychu	362	608.338376277988	1
2019	Gualeguaychu	363	524.466244120988	1
2019	Gualeguaychu	363	573.727850856239	1
2019	Gualeguaychu	363	483.698017857332	1
2019	Gualeguaychu	363	826.830588909768	1
