A	REG	ACC	O
2019	Palmar	261	5
2019	Palmar	261	3
2019	Palmar	261	6
2019	Palmar	261	5
2019	Palmar	261	5
2019	Palmar	261	5
2019	Palmar	261	5
2019	Palmar	261	5
2019	Palmar	261	7
2019	Palmar	261	5
2019	Palmar	262	6
2019	Palmar	262	4
2019	Palmar	262	4
2019	Palmar	262	6
2019	Palmar	262	4
2019	Palmar	262	6
2019	Palmar	262	3
2019	Palmar	262	6
2019	Palmar	262	6
2019	Palmar	262	6
2019	Palmar	263	5
2019	Palmar	263	5
2019	Palmar	263	6
2019	Palmar	263	6
2019	Palmar	263	8
2019	Palmar	263	6
2019	Palmar	263	4
2019	Palmar	263	6
2019	Palmar	263	5
2019	Palmar	263	6
2019	Palmar	271	6
2019	Palmar	271	5
2019	Palmar	271	6
2019	Palmar	271	7
2019	Palmar	271	6
2019	Palmar	271	4
2019	Palmar	271	4
2019	Palmar	271	4
2019	Palmar	271	4
2019	Palmar	271	6
2019	Palmar	272	4
2019	Palmar	272	4
2019	Palmar	272	6
2019	Palmar	272	6
2019	Palmar	272	4
2019	Palmar	272	4
2019	Palmar	272	6
2019	Palmar	272	6
2019	Palmar	272	7
2019	Palmar	272	6
2019	Palmar	274	4
2019	Palmar	274	4
2019	Palmar	274	5
2019	Palmar	274	4
2019	Palmar	274	4
2019	Palmar	274	5
2019	Palmar	274	4
2019	Palmar	274	6
2019	Palmar	274	5
2019	Palmar	274	5
2019	Palmar	276	8
2019	Palmar	276	7
2019	Palmar	276	7
2019	Palmar	276	4
2019	Palmar	276	4
2019	Palmar	276	5
2019	Palmar	276	5
2019	Palmar	276	6
2019	Palmar	276	5
2019	Palmar	276	7
2019	Palmar	280	2
2019	Palmar	280	2
2019	Palmar	280	3
2019	Palmar	280	1
2019	Palmar	280	4
2019	Palmar	280	4
2019	Palmar	280	3
2019	Palmar	280	3
2019	Palmar	280	4
2019	Palmar	280	3
2019	Palmar	281	4
2019	Palmar	281	4
2019	Palmar	281	4
2019	Palmar	281	3
2019	Palmar	281	4
2019	Palmar	281	6
2019	Palmar	281	5
2019	Palmar	281	3
2019	Palmar	281	4
2019	Palmar	281	6
2019	Palmar	284	3
2019	Palmar	284	4
2019	Palmar	284	6
2019	Palmar	284	4
2019	Palmar	284	5
2019	Palmar	284	6
2019	Palmar	284	2
2019	Palmar	284	1
2019	Palmar	284	3
2019	Palmar	284	6
2019	Palmar	285	6
2019	Palmar	285	8
2019	Palmar	285	7
2019	Palmar	285	10
2019	Palmar	285	6
2019	Palmar	285	6
2019	Palmar	285	3
2019	Palmar	285	4
2019	Palmar	285	6
2019	Palmar	285	6
2019	Palmar	286	3
2019	Palmar	286	6
2019	Palmar	286	5
2019	Palmar	286	6
2019	Palmar	286	5
2019	Palmar	286	5
2019	Palmar	286	4
2019	Palmar	286	5
2019	Palmar	286	3
2019	Palmar	286	6
2019	Palmar	287	6
2019	Palmar	287	7
2019	Palmar	287	4
2019	Palmar	287	6
2019	Palmar	287	6
2019	Palmar	287	7
2019	Palmar	287	5
2019	Palmar	287	6
2019	Palmar	287	5
2019	Palmar	287	8
2019	Palmar	288	1
2019	Palmar	288	3
2019	Palmar	288	4
2019	Palmar	288	6
2019	Palmar	288	5
2019	Palmar	288	5
2019	Palmar	288	6
2019	Palmar	288	6
2019	Palmar	288	7
2019	Palmar	288	6
2021	Palmar	260	5
2021	Palmar	260	6
2021	Palmar	260	5
2021	Palmar	260	4
2021	Palmar	260	7
2021	Palmar	260	5
2021	Palmar	260	4
2021	Palmar	260	6
2021	Palmar	260	5
2021	Palmar	260	4
2021	Palmar	261	6
2021	Palmar	261	6
2021	Palmar	261	7
2021	Palmar	261	8
2021	Palmar	261	4
2021	Palmar	261	5
2021	Palmar	261	5
2021	Palmar	261	3
2021	Palmar	261	6
2021	Palmar	261	5
2021	Palmar	262	4
2021	Palmar	262	8
2021	Palmar	262	7
2021	Palmar	262	6
2021	Palmar	262	6
2021	Palmar	262	6
2021	Palmar	262	4
2021	Palmar	262	
2021	Palmar	262	
2021	Palmar	262	
2021	Palmar	263	5
2021	Palmar	263	3
2021	Palmar	263	8
2021	Palmar	263	6
2021	Palmar	263	5
2021	Palmar	263	7
2021	Palmar	263	7
2021	Palmar	263	6
2021	Palmar	263	8
2021	Palmar	263	6
2021	Palmar	271	5
2021	Palmar	271	7
2021	Palmar	271	4
2021	Palmar	271	6
2021	Palmar	271	7
2021	Palmar	271	4
2021	Palmar	271	4
2021	Palmar	271	4
2021	Palmar	271	4
2021	Palmar	271	6
2021	Palmar	272	9
2021	Palmar	272	7
