PSFL	DMAP	DMIP	NO	NS	NS/NO	NFL/cm	NFR/NFL	PSS	PSF	PSS/PSF
4.99375	28.35	23.4	4	1.25	0.455555555555556	0.457312091503268	0.0833333333333333	0.28825	0.653	0.458434545349331
4.932	33.075	29.025	2.2	1.5	0.5625	0.823626373626374	0	0.710181818181818	1.16981818181818	0.57132108049402
11.717	33.3	31.725	4.1	1.2	0.303333333333333	3.22924836601307	0.0192307692307692	1.31716666666667	2.29825	0.560586838015925
12.229	36	32.175	6	1	0.193571428571429	1.54356725146199	0.00961538461538462	0.6812	1.2509	0.556092004984217
14.423	33.3	31.5	6.2	1.4	0.230357142857143	1.79329004329004	0	1.21466666666667	2.199	0.556550197028848
9.439	30.6	28.35	4.1	1.1	0.24389880952381	2.63392857142857	0	1.00075	2.00566666666667	0.498500892939152
8.152	33.975	31.275	4.8	1.1	0.240952380952381	2.08234126984127	0	1.13608333333333	1.7205	0.647525689553091
8.508	43.875	41.4	4.3	1.1	0.281666666666667	3.47767857142857	0	0.4576	0.8521	0.518262633078788
12.216	35.325	33.75	5.3	1.3	0.266190476190476	1.99404761904762	0	0.949636363636364	1.92954545454545	0.505481189760084
11.05	33.975	33.525	4.3	1.7	0.383333333333333	2.24107142857143	0	1.778	2.68466666666667	0.652240807256267
10.78	34.65	30.15	5.1	1.2	0.241904761904762	2.70089285714286	0	1.49666666666667	2.70783333333333	0.558400977103436
9.6	31.5	23.75	5.5	1	0.175198412698413	2.14642857142857	0	0.730833333333333	1.24633333333333	0.594566648058767
8.54	32.4	31.725	6	1.9	0.315816326530612	1.03333333333333	0.0147058823529412	0.975125	1.935	0.515542925694064
11.62	30.15	30.15	5.1	1.8	0.352142857142857	1.51266233766234	0	1.67466666666667	3.34058333333333	0.494641279457888
11.23	34.425	33.075	7.2	1.375	0.200049603174603	1.63888888888889	0	1.078625	1.690125	0.644278930910285
9.98	32.175	28.575	6.7	1.7	0.248174603174603	3.70238095238095	0	2.322	3.2247	0.695918955569941
11.73	36.9	35.325	3.8	1.25	0.366666666666667	3.44196428571429	0.0769230769230769	0.737625	1.26425	0.529852389859969
9.77	23.0625	20.25	5.4	1	0.205555555555556	2.32589285714286	0	0.794333333333333	1.37366666666667	0.579841468926226
11.09	28.575	24.75	4	1.5	0.477619047619048	2.28125	0.0263157894736842	2.0595	3.30541666666667	0.608309293790018
10.61	29.025	31.275	4.7	1.9	0.417063492063492	1.58130656108597	0.0131578947368421	1.77608333333333	2.78866666666667	0.596840796641881
8.52	33.75	31.95	4.6	1.2	0.29	1.88095238095238	0	0.7064	1.5056	0.454494275597929
10.87	34.2	30.825	4.6	1	0.297619047619048	3	0	0.889833333333333	1.39266666666667	0.637356946810948
12.49	29.25	24.3	5.4	1	0.1925	1.85	0	1.3474	2.7555	0.515327707404973
10.7555555555556	33.075	30.15	4.7	1.3	0.343333333333333	3.57589285714286	0	0.76325	1.27683333333333	0.589919913634204
12.79	33.75	30.375	4.8	1.4	0.295	2.61666666666667	0.0383403361344538	1.51991666666667	2.13591666666667	0.721269634180817
10.32	30.6	28.125	5.8	2.4	0.418095238095238	4.15	0.0628205128205128	2.71775	3.86	0.701903425955282
12.25	33.975	30.825	7.1	2.5	0.351428571428571	3.5625	0.0208333333333333	2.15316666666667	3.34475	0.637437462105045
10.17	36	30.6	5.6	1.4	0.273452380952381	3.625	0	2.33063636363636	3.71581818181818	0.599545853418312
11.23	35.1	31.725	4.7	1.33333333333333	0.211666666666667	1.00833333333333	0.0138888888888889	3.36283333333333	5.10566666666667	0.648868568313629
17.3	21.375	20.925	6.9	1	0.158730158730159	1.36904761904762	0	0.924	1.63766666666667	0.57574646125574
18.04	28.25	25.25	4.5	1.28571428571429	0.29047619047619	1.17916666666667	0	0.744857142857143	1.24671428571429	0.562403941010634
15.14	28.35	27	2.5	2.5	0.875	1.95	0	1.35483333333333	2.0465	0.623932703064586
14.56	25.875	25.2	3.3	1	0.316666666666667	1.20833333333333	0.0416666666666667	1.17391666666667	1.98733333333333	0.578073381972658
14.97	20.025	18.9	5	1.14285714285714	0.173333333333333	1.71527777777778	0.0857142857142857	1.56655555555556	2.348	0.661101946153578
7.14	23.175	22.275	6.4	1	0.142857142857143	0.975	0.05	0.895	1.793	0.499163413273843
9.44	22.275	21.15	4.6	1.5	0.183333333333333	1.4375	0.136111111111111	1.0405	1.64325	0.606105204395089
10.52	22.275	22.05	5	1.71428571428571	0.261111111111111	1.3	0.0551282051282051	1.51242857142857	2.28528571428571	0.616913763044011
9.69	20.475	19.125	3.8	1.2	0.316666666666667	1.25	0.0166666666666667	0.4276	0.9752	0.391037063876251
15.08	23.625	22.275	5.1	1	0.229365079365079	1.275	0	0.626666666666667	1.15166666666667	0.500094665103842
14.46	24.525	22.5	6.5	1.5	0.251785714285714	1.48928571428571	0.015625	0.874666666666667	1.6595	0.525920271009645
7.32	21.375	20.7	4.4	1.5	0.391666666666667	3.16071428571429	0.0520833333333333	0.228666666666667	0.775666666666667	0.248993019982988
12.12	26.55	24.75	4.8	1.42857142857143	0.30952380952381	2.14583333333333	0.0138888888888889	1.02942857142857	1.52285714285714	0.665796288778635
9.96	25.875	24.3	3.9	1.11111111111111	0.290740740740741	3.23214285714286	0	0.394555555555556	0.858888888888889	0.45648181774101
18	20.925	20.25	4.7	1.5	0.35	1.08333333333333	0.125	0.975833333333333	1.67846666666667	0.538305729535446
