YEAR	REG	ACC	Conc	AAO	FEN	CLOA	CLOB	CARO	INDMAD	ATT	RATIO	BRIX	AAO25	AAO50	AAO100	AAO250
2019	Concordia	171	0.250	97.67	277.31	0.388544367	0.673180459	17.81016949	0.6111	2.069333333	3.914304124	8.1	72.28	93.77	95.43	96.60
2019	Concordia	174	0.025	63.23	216.16	4.943628319	8.35339233	19.30894789	0.5278	2.176	3.676470588	8	63.01	93.21	95.91	96.43
2019	Concordia	174	0.050	90.45	487.10	19.99928501	33.982762	15.20470127	0.5278	1.429333333	4.104477612	5.866666667	69.71	93.12	96.00	95.91
2019	Concordia	174	0.100	95.54	245.03	12.32963504	20.89744526	23.72664234	0.5278	1.429333333	4.804104478	6.866666667	63.53	91.56	95.39	96.08
2019	Concordia	174	0.250	96.08	249.28	6.295212465	10.6776204	16.83286119	0.5278	2.346666667	2.997159091	7.033333333	56.66	83.90	94.87	95.91
2019	Concordia	175	0.025	86.39	1593.57	5.097536364	8.628909091	19.88472727	0.1667	1.3056	6.306168301	8.233333333	93.46	95.61	96.15	96.87
2019	Concordia	175	0.050	94.23	401.10	5.561888702	9.467959528	16.69274874	0.1667				93.38	95.52	95.70	96.78
2019	Concordia	175	0.100	96.04	3294.37	3.111457006	5.281687898	14.58598726	0.1667				64.37	90.60	96.51	98.30
2019	Concordia	175	0.250	96.87		13.98502935	23.73189824	17.36986301	0.1667				94.36	95.17	95.79	95.52
2019	Concordia	178	0.025	95.50	943.83	3.344661355	5.712948207	7.020318725	0.0909	1.76	7.859848485	13.83333333	95.89	96.27	95.89	95.37
2019	Concordia	178	0.050	95.57	1784.67	9.51246866	16.22044359	7.721890068	0.0909	0.768	15.27777778	11.73333333	94.60	93.70	94.22	92.93
2019	Concordia	178	0.100	95.66	1604.19	2.91788	5.0476	10.068	0.0909	2.688	4.253472222	11.43333333	94.99	95.50	95.50	95.89
2019	Concordia	178	0.250	95.05	803.69	4.613330134	7.895201536	7.747792706	0.0909	1.770666667	5.026355422	8.9	96.53	96.79	97.04	96.02
2019	Concordia	185	0.025	92.22	868.45	10.80638941	18.48223062	8.361058601	0.3636	0.512	5.924479167	3.033333333	92.42	95.01	96.61	97.31
2019	Concordia	185	0.050	93.51	670.55	0.978452498	1.733594515	9.154162586	0.3636	1.2608	9.359137056	11.8	94.91	95.41	97.21	98.10
2019	Concordia	185	0.100	95.68	1080.78	8.26079803	14.16965517	7.922364532	0.3636	0.9792	8.578431373	8.4	88.82	89.82	93.71	94.81
2019	Concordia	185	0.250	96.31	1274.43	3.136305182	5.36621881	20.22111324	0.3636	0.8576	8.356654229	7.166666667	92.71	93.81	95.21	95.01
2019	Concordia	193	0.025	94.52	460.77	1.377889306	2.398311445	14.5467167	0.3889	2.256	4.432624113	10	95.42	96.48	96.68	96.21
2019	Concordia	193	0.050	95.91	1193.74	4.676679612	8.019029126	11.33553398	0.3889	1.728	5.941358025	10.26666667	95.81	95.95	95.81	95.22
2019	Concordia	193	0.100	96.03	1174.21	2.86217433	4.910153257	13.08045977	0.3889	1.5936	4.769076305	7.6	95.35	95.68	95.48	95.22
2019	Concordia	193	0.250	95.55	574.58	0.494065282	0.87537092	18.4371909	0.3889	1.9072	4.35192953	8.3	91.50	95.55	96.15	95.55
2019	Concordia	197	0.025	56.46	259.19	2.62905042	4.439831933	9.719327731	0.4444	1.6832	5.92126109	9.966666667	42.63	60.15	86.65	97.03
2019	Concordia	197	0.050	80.63	1003.49	12.97355769	22.10480769	8.667692308	0.4444	1.597866667	5.799399199	9.266666667	71.92	94.35	95.74	96.76
2019	Concordia	197	0.100	94.05	359.69	4.361090909	7.449090909	13.55636364	0.4444	1.62304	6.654179811	10.8	53.57	82.11	97.03	98.33
